Wavelength in Air, Laser Power, # Photons
nm, mW, n
                         210.0,                      0.0129825,        1.3724638078849855e+25
                         211.0,                      0.0137167,        1.4569859720220342e+25
                         212.0,                      0.0157526,        1.6811690303169552e+25
                         213.0,                      0.0224456,        2.4067672734006656e+25
                         214.0,                      0.0300523,         3.237537174053797e+25
                         215.0,                      0.0298311,        3.2287246004678553e+25
                         216.0,                      0.0306986,         3.338071201999546e+25
                         217.0,                      0.0297971,        3.2550450766488756e+25
                         218.0,                      0.0291312,         3.196966925915466e+25
                         219.0,                       0.029997,        3.3070838983182767e+25
                         220.0,                      0.0302664,        3.3520209406044505e+25
                         221.0,                       0.025828,           2.8734677435162e+25
                         222.0,                      0.0278955,        3.1175282631138795e+25
                         223.0,                      0.0238466,         2.677038424754038e+25
                         224.0,                       0.024479,         2.760355169658977e+25
                         225.0,                      0.0244423,         2.768521261984582e+25
                         226.0,                      0.0236933,          2.69561129472666e+25
                         227.0,                      0.0252611,          2.88669825787516e+25
                         228.0,                      0.0238055,        2.7323443377888456e+25
                         229.0,                      0.0227484,         2.622464472280302e+25
                         230.0,                      0.0218786,         2.533206764950717e+25
                         231.0,                      0.0198648,        2.3100397424194897e+25
                         232.0,                      0.0193473,         2.259600309951315e+25
                         233.0,                      0.0184087,         2.159246956452174e+25
                         234.0,                      0.0194492,        2.2910832727580533e+25
                         235.0,                       0.019552,         2.313035645920901e+25
                         236.0,                      0.0190716,        2.2658043553121487e+25
                         237.0,                      0.0186813,         2.228839088448847e+25
                         238.0,                      0.0157198,        1.8834203049861313e+25
                         239.0,                       0.015706,        1.8896734833254798e+25
                         240.0,                      0.0143858,        1.7380750876704863e+25
                         241.0,                      0.0153766,         1.865523114150422e+25
                         242.0,                       0.016189,        1.9722350100504186e+25
                         243.0,                      0.0165782,         2.027995201771823e+25
                         244.0,                      0.0167101,        2.0525424607036546e+25
                         245.0,                      0.0163989,         2.022572400974076e+25
                         246.0,                      0.0166583,        2.0629517050678305e+25
                         247.0,                      0.0155701,         1.936027981837108e+25
                         248.0,                      0.0151632,         1.893066276583665e+25
                         249.0,                      0.0154852,         1.941062148829389e+25
                         250.0,                       0.015721,         1.978533696804293e+25
                         251.0,                      0.0140122,         1.770530138402555e+25
                         252.0,                      0.0134536,        1.7067201927913524e+25
                         253.0,                      0.0149377,         1.902512544773649e+25
                         254.0,                      0.0146592,         1.874421519425265e+25
                         255.0,                      0.0149539,        1.9196317632220948e+25
                         256.0,                      0.0116002,        1.4949570553922283e+25
                         257.0,                      0.0130607,         1.689751544771941e+25
                         258.0,                      0.0115101,        1.4949342005026324e+25
                         259.0,                      0.0121508,         1.584265305252991e+25
                         260.0,                      0.0132953,        1.7401823689006427e+25
                         261.0,                      0.0124028,        1.6296094062115741e+25
                         262.0,                      0.0109255,        1.4410063265599008e+25
                         263.0,                      0.0114595,        1.5172064917786589e+25
                         264.0,                      0.0114184,        1.5175131198238784e+25
                         265.0,                      0.0082496,         1.100530391213415e+25
                         266.0,                      0.0142729,        1.9112483984218274e+25
                         267.0,                     0.00565116,         7.595775840648028e+24
                         268.0,                     0.00555279,         7.491509216570143e+24
                         269.0,                     0.00714767,         9.679213027627738e+24
                         270.0,                     0.00564642,         7.674678974120268e+24
                         271.0,                     0.00523995,         7.148578796968073e+24
                         272.0,                     0.00477975,         6.544814785180809e+24
